"filename", "language", "Python", "Markdown", "JSON", "comment", "blank", "total"
"/home/tinkajob/VSCode/JUMP KING/Jump King.py", "Python", 242, 0, 0, 6, 62, 310
"/home/tinkajob/VSCode/JUMP KING/README.md", "Markdown", 0, 20, 0, 0, 8, 28
"/home/tinkajob/VSCode/JUMP KING/campaigns/config.json", "JSON", 0, 0, 27, 0, 2, 29
"/home/tinkajob/VSCode/JUMP KING/campaigns/main/config.json", "JSON", 0, 0, 31, 0, 2, 33
"/home/tinkajob/VSCode/JUMP KING/modules/config.py", "Python", 245, 0, 0, 10, 4, 259
"/home/tinkajob/VSCode/JUMP KING/modules/music_controller.py", "Python", 44, 0, 0, 7, 14, 65
"/home/tinkajob/VSCode/JUMP KING/modules/npcs.py", "Python", 58, 0, 0, 18, 23, 99
"/home/tinkajob/VSCode/JUMP KING/modules/objects.py", "Python", 35, 0, 0, 0, 9, 44
"/home/tinkajob/VSCode/JUMP KING/modules/platform.py", "Python", 5, 0, 0, 1, 2, 8
"/home/tinkajob/VSCode/JUMP KING/modules/player_controller.py", "Python", 310, 0, 0, 9, 49, 368
"/home/tinkajob/VSCode/JUMP KING/modules/pygame_objects.py", "Python", 16, 0, 0, 1, 4, 21
"/home/tinkajob/VSCode/JUMP KING/modules/ui.py", "Python", 239, 0, 0, 28, 51, 318
"/home/tinkajob/VSCode/JUMP KING/modules/utils.py", "Python", 449, 0, 0, 49, 97, 595
"Total", "-", 1643, 20, 58, 129, 327, 2177
